DATE,shift start time,shift end time,first sunrise,first sunset,second_sunrise,Darkness (minutes),% of Shift
2022-05-24,15:30:00,23:30:00,09:52:48,19:08:53,,261.1,54.4
2022-05-24,23:30:00,07:30:00,09:53:40,19:08:14,2022-05-25 09:53:40,480,100
2022-05-25,07:30:00,15:30:00,09:53:40,19:08:14,,143.7,29.9
2022-05-25,15:30:00,23:30:00,09:53:40,19:08:14,,261.8,54.5
2022-05-25,23:30:00,07:30:00,09:54:31,19:07:36,2022-05-26 09:54:31,480,100
2022-05-26,07:30:00,15:30:00,09:54:31,19:07:36,,144.5,30.1
2022-05-26,15:30:00,23:30:00,09:54:31,19:07:36,,262.4,54.7
2022-05-26,23:30:00,07:30:00,09:55:21,19:07:01,2022-05-27 09:55:21,480,100
2022-05-27,07:30:00,15:30:00,09:55:21,19:07:01,,145.4,30.3
2022-05-27,15:30:00,23:30:00,09:55:21,19:07:01,,263.0,54.8
2022-05-27,23:30:00,07:30:00,09:56:10,19:06:27,2022-05-28 09:56:10,480,100
2022-05-28,07:30:00,15:30:00,09:56:10,19:06:27,,146.2,30.5
2022-05-28,15:30:00,23:30:00,09:56:10,19:06:27,,263.6,54.9
2022-05-28,23:30:00,07:30:00,09:56:57,19:05:56,2022-05-29 09:56:57,480,100
2022-05-29,07:30:00,15:30:00,09:56:57,19:05:56,,147.0,30.6
2022-05-29,15:30:00,23:30:00,09:56:57,19:05:56,,264.1,55.0
2022-05-29,23:30:00,07:30:00,09:57:44,19:05:26,2022-05-30 09:57:44,480,100
2022-05-30,07:30:00,15:30:00,09:57:44,19:05:26,,147.7,30.8
2022-05-30,15:30:00,23:30:00,09:57:44,19:05:26,,264.6,55.1
2022-05-30,23:30:00,07:30:00,09:58:29,19:04:58,2022-05-31 09:58:29,480,100
2022-05-31,07:30:00,15:30:00,09:58:29,19:04:58,,148.5,30.9
2022-05-31,15:30:00,23:30:00,09:58:29,19:04:58,,265.0,55.2
2022-05-31,23:30:00,07:30:00,09:59:14,19:04:32,2022-06-01 09:59:14,480,100
2022-06-01,07:30:00,15:30:00,09:59:14,19:04:32,,149.2,31.1
2022-06-01,15:30:00,23:30:00,09:59:14,19:04:32,,265.5,55.3
2022-06-01,23:30:00,07:30:00,09:59:57,19:04:08,2022-06-02 09:59:57,480,100
2022-06-02,07:30:00,15:30:00,09:59:57,19:04:08,,150.0,31.3
2022-06-02,15:30:00,23:30:00,09:59:57,19:04:08,,265.9,55.4
2022-06-02,23:30:00,07:30:00,10:00:38,19:03:45,2022-06-03 10:00:38,480,100
2022-06-03,07:30:00,15:30:00,10:00:38,19:03:45,,150.6,31.4
2022-06-03,15:30:00,23:30:00,10:00:38,19:03:45,,266.3,55.5
2022-06-03,23:30:00,07:30:00,10:01:19,19:03:25,2022-06-04 10:01:19,480,100
2022-06-04,07:30:00,15:30:00,10:01:19,19:03:25,,151.3,31.5
2022-06-04,15:30:00,23:30:00,10:01:19,19:03:25,,266.6,55.5
2022-06-04,23:30:00,07:30:00,10:01:58,19:03:07,2022-06-05 10:01:58,480,100
2022-06-05,07:30:00,15:30:00,10:01:58,19:03:07,,152.0,31.7
2022-06-05,15:30:00,23:30:00,10:01:58,19:03:07,,266.9,55.6
2022-06-05,23:30:00,07:30:00,10:02:35,19:02:50,2022-06-06 10:02:35,480,100
2022-06-06,07:30:00,15:30:00,10:02:35,19:02:50,,152.6,31.8
2022-06-06,15:30:00,23:30:00,10:02:35,19:02:50,,267.2,55.7
2022-06-06,23:30:00,07:30:00,10:03:11,19:02:36,2022-06-07 10:03:11,480,100
2022-06-07,07:30:00,15:30:00,10:03:11,19:02:36,,153.2,31.9
